Node Number,X Location (mm),Y Location (mm),Z Location (mm),Total Deformation (mm)
1355,487.39,-391.55,-1702.7,0.014423
1356,487.39,-411.01,-1698.1,0.015124
1357,487.39,-430.42,-1693.3,0.015802
1358,487.39,-449.77,-1688.2,0.016458
1359,487.39,-469.06,-1683,0.017095
1360,487.39,-488.29,-1677.5,0.017721
1361,487.39,-507.46,-1671.8,0.018337
1362,487.39,-526.56,-1665.9,0.01894
1363,487.39,-545.59,-1659.7,0.019533
1364,487.39,-564.55,-1653.4,0.020113
1365,487.39,-583.43,-1646.8,0.020681
1366,487.39,-602.24,-1640,0.021233
1367,487.39,-620.97,-1633,0.02177
1368,487.39,-639.62,-1625.8,0.022287
1369,487.39,-658.18,-1618.4,0.022778
1370,487.39,-676.66,-1610.7,0.023239
1371,487.39,-695.05,-1602.9,0.02367
1372,487.39,-713.35,-1594.8,0.024068
1373,487.39,-731.56,-1586.6,0.024434
1374,487.39,-749.67,-1578.1,0.024765
1375,487.39,-767.68,-1569.4,0.025061
1376,487.39,-785.59,-1560.5,0.025316
1377,487.39,-803.4,-1551.4,0.025525
1378,487.39,-821.1,-1542.1,0.025685
1379,487.39,-838.69,-1532.6,0.025797
1380,487.39,-856.18,-1522.9,0.025863
1381,487.39,-873.55,-1513,0.025886
1382,487.39,-890.81,-1502.9,0.025865
1383,487.39,-907.95,-1492.6,0.0258
1384,487.39,-924.98,-1482.2,0.02569
1385,487.39,-941.88,-1471.5,0.025531
1386,487.39,-958.66,-1460.6,0.025323
1387,487.39,-975.31,-1449.5,0.02507
1388,487.39,-991.84,-1438.3,0.024776
1389,487.39,-1008.2,-1426.8,0.024447
1390,487.39,-1024.5,-1415.2,0.024083
1391,487.39,-1040.6,-1403.4,0.023685
1392,487.39,-1056.6,-1391.4,0.023254
1393,487.39,-1072.5,-1379.2,0.022792
1394,487.39,-1088.2,-1366.8,0.022301
1395,487.39,-1103.8,-1354.3,0.021784
1396,487.39,-1119.2,-1341.6,0.021247
1397,487.39,-1134.5,-1328.7,0.020695
1398,487.39,-1149.6,-1315.6,0.020126
1399,487.39,-1164.6,-1302.4,0.019546
1400,487.39,-1179.4,-1288.9,0.018954
1401,487.39,-1194.1,-1275.4,0.01835
1402,487.39,-1208.6,-1261.6,0.017735
1403,487.39,-1223,-1247.7,0.017109
1404,487.39,-1237.2,-1233.6,0.016471
1405,487.39,-1251.2,-1219.4,0.015813
1406,487.39,-1265.1,-1205,0.015134
1407,487.39,-1278.8,-1190.4,0.014433
1408,487.39,-1292.3,-1175.7,0.013708
1409,487.39,-1305.7,-1160.8,0.012958
1410,487.39,-1318.9,-1145.8,0.012185
1411,487.39,-1331.9,-1130.7,0.011393
1412,487.39,-1344.8,-1115.3,0.010582
1413,487.39,-1357.4,-1099.9,0.0097547
1414,487.39,-1369.9,-1084.3,0.0089178
1415,487.39,-1382.3,-1068.5,0.0080806
1416,487.39,-1394.4,-1052.6,0.0072537
1417,487.39,-1406.4,-1036.6,0.0064537
1418,487.39,-1418.1,-1020.4,0.0057067
1419,487.39,-1429.7,-1004.1,0.0050515
1420,487.39,-1441.1,-987.72,0.0045367
1421,487.39,-1452.3,-971.16,0.0042306
1422,487.39,-1463.3,-954.47,0.0041925
1423,487.39,-1474.2,-937.66,0.0044369
1424,487.39,-1484.8,-920.73,0.0049276
1425,487.39,-1495.2,-903.68,0.0056033
1426,487.39,-1505.5,-886.51,0.0064057
1427,487.39,-1515.5,-869.22,0.0072917
1428,487.39,-1525.4,-851.82,0.0082382
1429,487.39,-1535,-834.31,0.0092218
1430,487.39,-1544.5,-816.68,0.010225
1431,487.39,-1553.7,-798.95,0.011238
1432,487.39,-1562.8,-781.12,0.012254
1433,487.39,-1571.6,-763.18,0.013268
1434,487.39,-1580.2,-745.15,0.014274
1435,487.39,-1588.7,-727.01,0.015268
1436,487.39,-1596.9,-708.78,0.016254
1437,487.39,-1604.9,-690.46,0.017222
1438,487.39,-1612.7,-672.05,0.018163
1439,487.39,-1620.3,-653.55,0.019074
1440,487.39,-1627.6,-634.96,0.019955
1441,487.39,-1634.8,-616.29,0.020803
1442,487.39,-1641.7,-597.54,0.021617
1443,487.39,-1648.5,-578.72,0.022398
1444,487.39,-1655,-559.81,0.023144
1445,487.39,-1661.3,-540.84,0.023847
1446,487.39,-1667.4,-521.79,0.024502
1447,487.39,-1673.2,-502.67,0.025112
1448,487.39,-1678.9,-483.49,0.025679
1449,487.39,-1684.3,-464.24,0.02621
1450,487.39,-1689.5,-444.94,0.026713
1451,487.39,-1694.5,-425.57,0.027199
1452,487.39,-1699.2,-406.15,0.027659
1453,487.39,-1703.8,-386.68,0.028085
1454,487.39,-1708.1,-367.15,0.028476
1455,487.39,-1712.2,-347.58,0.028832
1456,487.39,-1716,-327.96,0.029155
1457,487.39,-1719.7,-308.3,0.029451
1458,487.39,-1723.1,-288.6,0.029727
1459,487.39,-1726.3,-268.86,0.029979
1460,487.39,-1729.3,-249.09,0.030207
1461,487.39,-1732,-229.28,0.030411
1462,487.39,-1734.5,-209.44,0.030592
1463,487.39,-1736.8,-189.58,0.03075
1464,487.39,-1738.8,-169.69,0.030889
1465,487.39,-1740.7,-149.78,0.031015
1466,487.39,-1742.3,-129.85,0.031128
1467,487.39,-1743.6,-109.9,0.031224
1468,487.39,-1744.8,-89.939,0.031303
1469,487.39,-1745.7,-69.965,0.031363
1470,487.39,-1746.4,-49.981,0.031406
1471,487.39,-1746.8,-29.991,0.031432
1472,487.39,-1747.1,-9.9976,0.031443
1473,487.39,-1747.1,9.9976,0.031443
1474,487.39,-1746.8,29.991,0.031433
1475,487.39,-1746.4,49.981,0.031407
1476,487.39,-1745.7,69.965,0.031364
1477,487.39,-1744.8,89.939,0.031304
1478,487.39,-1743.6,109.9,0.031225
1479,487.39,-1742.3,129.85,0.031129
1480,487.39,-1740.7,149.78,0.031017
1481,487.39,-1738.8,169.69,0.030892
1482,487.39,-1736.8,189.58,0.030755
1483,487.39,-1734.5,209.44,0.030598
1484,487.39,-1732,229.28,0.030418
1485,487.39,-1729.3,249.09,0.030215
1486,487.39,-1726.3,268.86,0.029986
1487,487.39,-1723.1,288.6,0.029733
1488,487.39,-1719.7,308.3,0.029457
1489,487.39,-1716,327.96,0.029162
1490,487.39,-1712.2,347.58,0.028838
1491,487.39,-1708.1,367.15,0.028483
1492,487.39,-1703.8,386.68,0.028093
1493,487.39,-1699.2,406.15,0.027668
1494,487.39,-1694.5,425.57,0.02721
1495,487.39,-1689.5,444.94,0.026724
1496,487.39,-1684.3,464.24,0.026219
1497,487.39,-1678.9,483.49,0.025689
1498,487.39,-1673.2,502.67,0.025122
1499,487.39,-1667.4,521.79,0.024512
1500,487.39,-1661.3,540.84,0.023856
1501,487.39,-1655,559.81,0.023153
1502,487.39,-1648.5,578.72,0.022405
1503,487.39,-1641.7,597.54,0.021623
1504,487.39,-1634.8,616.29,0.020808
1505,487.39,-1627.6,634.96,0.019959
1506,487.39,-1620.3,653.55,0.019077
1507,487.39,-1612.7,672.05,0.018166
1508,487.39,-1604.9,690.46,0.017225
1509,487.39,-1596.9,708.78,0.01626
1510,487.39,-1588.7,727.01,0.015276
1511,487.39,-1580.2,745.15,0.014283
1512,487.39,-1571.6,763.18,0.013279
1513,487.39,-1562.8,781.12,0.012265
1514,487.39,-1553.7,798.95,0.011248
1515,487.39,-1544.5,816.68,0.010235
1516,487.39,-1535,834.31,0.0092317
1517,487.39,-1525.4,851.82,0.0082485
1518,487.39,-1515.5,869.22,0.0073032
1519,487.39,-1505.5,886.51,0.0064176
1520,487.39,-1495.2,903.68,0.0056142
1521,487.39,-1484.8,920.73,0.0049359
1522,487.39,-1474.2,937.66,0.0044416
1523,487.39,-1463.3,954.47,0.0041928
1524,487.39,-1452.3,971.16,0.0042264
1525,487.39,-1441.1,987.72,0.0045287
1526,487.39,-1429.7,1004.1,0.0050403
1527,487.39,-1418.1,1020.4,0.0056936
1528,487.39,-1406.4,1036.6,0.0064403
1529,487.39,-1394.4,1052.6,0.007241
1530,487.39,-1382.3,1068.5,0.0080689
1531,487.39,-1369.9,1084.3,0.0089064
1532,487.39,-1357.4,1099.9,0.0097431
1533,487.39,-1344.8,1115.3,0.010571
1534,487.39,-1331.9,1130.7,0.011381
1535,487.39,-1318.9,1145.8,0.012173
1536,487.39,-1305.7,1160.8,0.012945
1537,487.39,-1292.3,1175.7,0.013694
1538,487.39,-1278.8,1190.4,0.014419
1539,487.39,-1265.1,1205,0.01512
1540,487.39,-1251.2,1219.4,0.015798
1541,487.39,-1237.2,1233.6,0.016454
1542,487.39,-1223,1247.7,0.017092
1543,487.39,-1208.6,1261.6,0.017718
1544,487.39,-1194.1,1275.4,0.018334
1545,487.39,-1179.4,1288.9,0.018938
1546,487.39,-1164.6,1302.4,0.01953
1547,487.39,-1149.6,1315.6,0.020111
1548,487.39,-1134.5,1328.7,0.020679
1549,487.39,-1119.2,1341.6,0.021231
1550,487.39,-1103.8,1354.3,0.021768
1551,487.39,-1088.2,1366.8,0.022285
1552,487.39,-1072.5,1379.2,0.022777
1553,487.39,-1056.6,1391.4,0.023239
1554,487.39,-1040.6,1403.4,0.023669
1555,487.39,-1024.5,1415.2,0.024068
1556,487.39,-1008.2,1426.8,0.024434
1557,487.39,-991.84,1438.3,0.024764
1558,487.39,-975.31,1449.5,0.025061
1559,487.39,-958.66,1460.6,0.025316
1560,487.39,-941.88,1471.5,0.025525
1561,487.39,-924.98,1482.2,0.025685
1562,487.39,-907.95,1492.6,0.025797
1563,487.39,-890.81,1502.9,0.025863
1564,24.883,173,-299.64,0.0034429
1565,24.883,155.45,-309.11,0.0034393
1566,24.883,137.38,-317.56,0.0034328
1567,24.883,118.86,-324.94,0.0034242
1568,24.883,99.941,-331.25,0.00341
1569,24.883,80.691,-336.46,0.0033921
1570,24.883,61.173,-340.55,0.0033724
1571,24.883,41.452,-343.51,0.0033525
1572,24.883,21.593,-345.33,0.0033338
1573,24.883,1.6621,-346,0.0033162
1574,24.883,-18.274,-345.52,0.003298
1575,24.883,-38.15,-343.89,0.00328
1576,24.883,-57.899,-341.12,0.0032626
1577,24.883,-77.455,-337.22,0.0032446
1578,24.883,-96.754,-332.2,0.0032257
1579,24.883,-115.73,-326.07,0.0032081
1580,24.883,-134.33,-318.86,0.0031955
1581,24.883,-152.47,-310.59,0.003187
1582,24.883,-170.11,-301.29,0.0031826
1583,24.883,-187.19,-290.99,0.0031852
1584,24.883,-203.64,-279.72,0.0031926
1585,24.883,-219.42,-267.53,0.0032034
1586,24.883,-234.47,-254.44,0.0032188
1587,24.883,-248.74,-240.51,0.0032382
1588,24.883,-262.18,-225.78,0.0032565
1589,24.883,-274.75,-210.3,0.0032742
1590,24.883,-286.41,-194.12,0.0032919
1591,24.883,-297.12,-177.3,0.00331
1592,24.883,-306.84,-159.89,0.0033277
1593,24.883,-315.54,-141.94,0.0033458
1594,24.883,-323.2,-123.53,0.0033653
1595,24.883,-329.78,-104.7,0.0033854
1596,24.883,-335.26,-85.531,0.0034041
1597,24.883,-339.63,-66.074,0.0034198
1598,24.883,-342.87,-46.398,0.0034302
1599,24.883,-344.98,-26.567,0.0034375
1600,24.883,-345.94,-6.6479,0.0034424
1601,24.883,-345.74,13.293,0.0034408
1602,24.883,-344.4,33.19,0.0034347
1603,24.883,-341.92,52.977,0.0034271
1604,24.883,-338.3,72.588,0.0034156
1605,24.883,-333.56,91.957,0.0033981
1606,24.883,-327.7,111.02,0.003379
